"","Period","Value Dairy","Value All Livestock","Value Forestry","Value Fruit"
"627",2018-01-05,92.3015,102.8811,103.5497,110.7965
"628",2018-01-12,91.7973,103.2361,104.812,112.1472
"629",2018-01-19,94.8756,103.6424,105.9466,112.4655
"630",2018-02-02,96.5359,105.4528,106.318,115.9601
"631",2018-01-26,94.7983,104.6224,107.0922,113.6815
"632",2018-02-09,99.7985,104.2301,105.4937,115.061
"633",2018-02-16,100.8834,106.1699,107.5828,117.3396
"634",2018-03-02,100.0965,106.078,106.6435,116.9546
"635",2018-02-23,100.2125,106.3795,107.4521,115.7741
"636",2018-03-16,99.5072,107.1419,106.6278,116.6339
"637",2018-03-09,99.6598,107.9298,107.3348,117.7126
"638",2018-03-30,99.154,105.8515,106.921,116.9546
"639",2018-04-13,100.0364,107.5054,108.7466,103.8226
"640",2018-03-23,99.3303,106.9216,106.9055,116.9376
"641",2018-04-27,102.0243,103.2093,104.6938,99.9533
"642",2018-04-06,99.7868,106.123,107.3482,102.4875
"643",2018-04-20,101.8309,105.2516,106.4972,101.675
"644",2018-05-04,102.4066,102.4555,103.731,101.7281
"645",2018-05-11,102.5613,102.319,102.9648,100.9767
"646",2018-05-18,103.7481,102.6641,102.0509,100.1671
"647",2018-06-15,102.4644,106.2763,102.6112,103.3814
"648",2018-05-25,103.2648,103.7581,102.1356,100.2502
"649",2018-06-22,101.3532,106.1577,101.9874,102.753
"650",2018-06-01,103.9125,105.7437,103.0985,103.8723
"651",2018-06-29,101.4305,104.3623,100.9344,100.6463
"652",2018-06-08,103.7272,106.789,103.8381,104.6175
"653",2018-07-06,96.5099,106.3515,102.053,101.2411
"654",2018-07-13,96.0084,105.7104,100.9139,100.1111
"655",2018-07-27,95.3488,107.5405,100.496,100.4713
"656",2018-08-03,94.9949,107.6207,99.8115,97.8904
"657",2018-07-20,93.7927,106.8328,101.5735,100.7655
"658",2018-08-10,94.8023,105.5352,97.4139,95.539
"659",2018-08-17,95.9612,107.2757,98.2546,96.3634
"660",2018-09-07,91.6506,108.3841,96.9897,98.4618
"661",2018-08-24,92.8834,109.1209,99.0567,97.1501
"662",2018-08-31,92.2096,109.3842,98.3068,96.1655
"663",2018-09-14,91.7671,108.7291,97.1803,98.6552
"664",2018-09-21,90.5113,110.0549,97.2613,100.7331
"665",2018-09-28,90.42,107.9787,96.2764,99.713
"666",2018-10-05,89.6486,104.0068,93.7328,98.1927
"667",2018-10-19,90.0756,103.7488,97.7752,100.4848
"668",2018-10-12,88.9572,103.3143,94.6723,99.1769
"669",2018-10-26,89.2635,101.5842,96.5528,99.2285
"670",2018-11-02,88.6203,102.8582,98.7652,111.4907
"671",2018-11-09,87.7814,103.7705,99.9233,112.798
"672",2018-12-07,86.2453,103.7934,103.506,110.6907
"673",2018-11-16,87.3791,105.9954,101.9851,115.1255
"674",2018-12-21,86.0185,99.9466,101.2597,108.2884
"675",2018-11-23,84.3938,104.7126,102.1935,113.5017
"676",2018-11-30,84.3849,106.1688,103.7198,115.1968
"677",2018-12-28,86.0185,98.5861,101.1917,108.2157
"678",2018-12-14,86.0185,102.3902,102.4366,109.5471
"679",2019-01-25,93.0876,98.8865,104.6407,111.2762
"680",2019-01-04,87.2844,97.6099,100.9207,109.5161
"681",2019-01-11,89.1195,97.9121,102.4516,111.1773
"682",2019-02-01,93.8475,99.3793,105.543,113.9915
"683",2019-01-18,92.7361,97.5811,103.1731,109.7155
"684",2019-02-22,96.2792,96.3488,104.7338,113.1175
"685",2019-02-08,94.9176,96.8654,103.2218,111.4845
"686",2019-02-15,95.751,97.5125,105.043,113.4515
"687",2019-03-01,98.8781,94.7397,104.9336,104.1622
"688",2019-03-08,100.1685,94.045,104.9764,104.2048
"689",2019-03-15,100.6202,94.8048,105.6088,104.8325
"690",2019-03-29,104.5119,94.9709,104.4546,104.2048
"691",2019-04-12,104.7429,96.0514,103.8118,97.5426
"692",2019-03-22,102.6859,95.9697,105.5752,105.3227
"693",2019-04-26,106.5918,95.4815,100.3962,96.0935
"694",2019-04-05,104.8452,94.6389,103.3645,97.1222
"695",2019-05-10,105.8512,95.5159,99.4554,100.1616
"696",2019-04-19,106.1619,95.3001,100.7924,96.4727
"697",2019-05-03,106.1107,95.8549,100.1694,100.8806
"698",2019-05-17,105.7462,95.215,98.4353,98.9664
"699",2019-06-07,102.3955,99.0564,100.5484,103.6632
"700",2019-05-24,105.244,96.3271,98.8418,99.4593
"701",2019-06-14,101.3193,97.9157,97.9242,100.9577
"702",2019-05-31,105.244,96.7002,98.5834,99.1992
"703",2019-06-28,100.3891,103.0186,100.1432,104.4851
"704",2019-06-21,100.3891,99.9645,97.957,102.4678
"705",2019-07-05,97.9817,102.2803,98.776,97.1576
"706",2019-07-19,99.3175,106.1234,89.8271,99.1553
"707",2019-07-12,97.2553,104.1172,99.7411,98.1069
"708",2019-08-09,97.6001,103.8984,85.8885,94.1293
"709",2019-07-26,99.635,105.0853,88.1283,97.2801
"710",2019-08-16,97.5881,104.2964,85.386,93.5785
"711",2019-08-02,99.5343,104.5215,86.883,95.2192
"712",2019-08-23,97.0995,104.4345,85.7073,93.213
"713",2019-08-30,97.0995,103.393,84.4206,91.8136
"714",2019-09-06,97.6348,106.0953,86.0158,99.4829
"715",2019-09-20,98.1838,103.9932,84.6402,96.8741
"716",2019-09-13,97.7473,105.6046,85.3466,98.7089
"717",2019-10-04,98.3991,106.1279,85.4423,108.5563
"718",2019-09-27,97.0514,105.3468,85.1571,97.4658
"719",2019-10-18,99.9242,108.1295,86.3479,109.7068
"720",2019-10-11,99.2163,107.1939,85.7239,108.9141
"721",2019-10-25,99.9242,107.8123,87.4074,109.0939
"722",2019-11-15,103.6902,112.2787,88.1236,113.235
"723",2019-12-13,104.7015,113.9182,93.5505,115.1644
"724",2019-11-01,99.9242,109.9208,88.4918,113.7081
"725",2019-11-08,102.5865,110.4747,87.1308,111.9593
"726",2019-12-20,100.8646,110.8179,93.1841,115.2328
"727",2020-01-03,100.8646,106.9777,94.0598,118.6251
"728",2019-11-22,105.3244,112.5786,90.8583,113.3802
"729",2019-11-29,105.3952,113.1152,91.0392,113.6059
"730",2019-12-06,104.6645,115.0205,93.0409,114.537
"731",2019-12-27,100.8646,109.8855,94.5514,116.9237
"732",2020-01-17,103.9329,101.6603,93.3505,117.7305
"733",2020-01-24,105.5671,99.5754,92.7328,117.5905
"734",2020-01-10,102.9511,104.3189,93.5796,118.0194
"735",2020-02-21,105.7943,86.6219,81.7712,113.0048
"736",2020-01-31,104.8925,95.7621,90.7188,115.0366
"737",2020-02-07,101.1201,92.4004,89.8534,113.996
"738",2020-02-14,104.8122,90.1012,90.2927,114.5533
"739",2020-02-28,105.7943,83.5512,80.0241,110.5905
"740",2020-03-20,97.7727,77.6384,75.1864,98.2171
"741",2020-04-17,95.095,78.7441,79.061,100.254
"742",2020-03-06,100.2601,84.8948,81.9011,108.793
"743",2020-05-01,92.933,77.8105,79.5651,95.2345
"744",2020-03-13,100.9866,81.1384,78.0181,103.6349
"745",2020-05-08,90.8996,78.7285,80.5038,96.358
"746",2020-03-27,96.746,81.4378,78.8659,103.0236
"747",2020-04-03,96.8483,79.3971,76.8896,97.5006
"748",2020-04-10,97.2782,81.2374,79.6958,101.059
"749",2020-05-15,90.2743,76.6806,90.3877,93.0312
"750",2020-04-24,93.2161,76.8445,78.5773,99.6407
"751",2020-06-05,91.7557,86.9215,99.1195,95.8449
"752",2020-05-22,90.204,80.0699,92.7368,95.449
"753",2020-05-29,90.6235,81.7014,94.3621,97.1218
"754",2020-06-19,92.1401,87.9641,90.2231,94.7113
"755",2020-06-12,91.3188,86.8469,89.9801,94.4562
"756",2020-06-26,92.8104,88.5653,89.911,94.3836
"757",2020-07-17,98.2323,92.6249,86.1473,91.5992
"758",2020-07-31,97.6986,94.7471,87.6908,93.2403
"759",2020-07-03,93.7522,91.1416,91.6429,91.4078
"760",2020-08-21,94.3237,94.2366,88.7796,95.643
"761",2020-07-10,95.0782,92.3128,92.3605,92.1236
"762",2020-09-04,94.3403,96.3209,90.7906,98.2997
"763",2020-07-24,98.6256,94.3004,87.4056,92.937
"764",2020-08-07,95.2988,94.9551,87.1452,96.8901
"765",2020-08-14,95.5361,94.4636,87.7529,95.9816
"766",2020-09-18,95.037,98.7944,91.6309,99.6784
"767",2020-08-28,94.3237,97.0827,91.5306,98.6066
"768",2020-09-11,93.7655,96.7617,90.6452,98.1423
"769",2020-09-25,95.037,95.4562,88.4082,96.1727
"770",2020-10-16,97.1758,95.4654,90.8387,108.6266
"771",2020-10-02,95.0117,96.9432,89.6864,109.0732
"772",2020-10-23,96.3059,95.75,91.6132,109.5527
"773",2020-10-09,96.4493,96.3744,90.0566,109.5235
"774",2020-10-30,98.4487,94.4361,90.9168,108.7199
"775",2020-11-06,96.4495,96.4815,93.31,118.2362
"776",2020-11-20,97.8863,98.6966,96.7491,121.0194
"777",2020-11-13,97.0382,97.1518,94.0116,119.1252
"778",2020-12-18,101.2,95.7764,100.9666,126.909
"779",2020-11-27,97.5324,99.5619,97.9875,122.5685
"780",2021-01-01,101.2,96.6298,101.8663,131.4475
"781",2020-12-04,99.4472,98.3033,98.1463,125.5144
"782",2021-01-15,105.179,92.6665,101.1756,130.5563
"783",2020-12-11,99.6241,97.0967,98.6536,126.1632
"784",2020-12-25,101.2,95.7287,100.9163,126.8458
"785",2021-02-05,112.3162,93.9435,105.0409,129.482
"786",2021-01-08,101.2,95.0307,102.8343,132.6967
"787",2021-01-22,107.3247,93.0445,104.8071,131.3343
"788",2021-02-19,112.6121,95.6118,107.78,131.3631
"789",2021-01-29,109.3421,93.8311,105.1998,131.8265
"790",2021-02-26,115.5179,95.0633,107.4583,130.9711
"791",2021-03-05,130.4499,92.4864,105.4249,117.6457
"792",2021-02-12,112.2217,94.4504,105.3137,129.8183
"793",2021-03-12,131.4419,93.289,105.8861,118.1604
"794",2021-03-19,126.0308,93.2821,107.3368,118.0419
"795",2021-03-26,126.1995,91.1878,104.7916,115.2428
"796",2021-04-23,128.1116,97.025,106.6653,102.2741
"797",2021-04-02,126.1995,92.6644,105.1003,100.0857
"798",2021-04-30,126.3765,97.6689,106.7648,102.3695
"799",2021-04-09,127.8992,93.6232,105.5074,100.4734
"800",2021-04-16,127.8992,95.8717,106.9461,101.8434
"801",2021-05-14,127.5128,101.3067,107.7233,104.6315
"802",2021-05-07,129.0286,100.7275,108.2327,105.1262
"803",2021-06-04,126.4461,106.053,111.7956,103.8701
"804",2021-05-21,126.6078,101.3275,111.3867,103.6484
"805",2021-05-28,126.6078,104.4889,112.5899,104.768
"806",2021-06-11,126.3336,106.6488,110.696,102.8484
"807",2021-06-18,126.1821,105.7661,109.3764,99.9767
"808",2021-06-25,124.8172,109.9243,111.7851,102.1784
"809",2021-07-02,126.217,111.2147,110.4632,102.2708
"810",2021-07-16,121.0241,116.5178,109.9554,102.4644
"811",2021-07-09,122.3776,113.4163,110.2395,102.0637
"812",2021-07-23,119.0342,117.3389,109.3803,101.9284
"813",2021-07-30,118.5844,119.7345,109.4948,102.0352
"814",2021-08-06,117.6937,121.2508,109.9785,102.9035
"815",2021-08-13,115.8389,122.8337,110.4043,103.3019
"816",2021-08-27,114.7923,123.657,97.2041,102.7594
"817",2021-09-03,114.7923,126.121,99.1409,104.8069
"818",2021-08-20,114.7923,119.9875,94.7299,100.1438
"820",2021-09-10,119.0347,126.5164,99.0702,104.7321
"821",2021-09-17,119.8173,125.6845,97.6623,103.2438
"824",2021-09-24,120.8724,125.3081,100.3509,102.7738
