"","Location","Date","New_Cases","Measure","Exports_Value","Imports_Value"
"1","New Zealand",2020-02-28,1,"$",162000000,188000000
"2","New Zealand",2020-02-29,0,"$",149000000,32000000
"3","New Zealand",2020-03-01,0,"$",81000000,119000000
"4","New Zealand",2020-03-02,0,"$",192000000,294000000
"5","New Zealand",2020-03-03,0,"$",196000000,230000000
"6","New Zealand",2020-03-04,2,"$",154000000,209000000
"7","New Zealand",2020-03-05,0,"$",154000000,187000000
"8","New Zealand",2020-03-06,1,"$",156000000,201000000
"9","New Zealand",2020-03-07,1,"$",76000000,30000000
"10","New Zealand",2020-03-08,0,"$",108000000,38000000
"11","New Zealand",2020-03-09,0,"$",221000000,205000000
"12","New Zealand",2020-03-10,0,"$",190000000,179000000
"13","New Zealand",2020-03-11,0,"$",302000000,197000000
"14","New Zealand",2020-03-12,0,"$",176000000,191000000
"15","New Zealand",2020-03-13,0,"$",245000000,186000000
"16","New Zealand",2020-03-14,1,"$",114000000,31000000
"17","New Zealand",2020-03-15,2,"$",106000000,45000000
"18","New Zealand",2020-03-16,0,"$",229000000,213000000
"19","New Zealand",2020-03-17,4,"$",156000000,207000000
"20","New Zealand",2020-03-18,8,"$",320000000,214000000
"21","New Zealand",2020-03-19,8,"$",325000000,192000000
"22","New Zealand",2020-03-20,11,"$",204000000,180000000
"23","New Zealand",2020-03-21,13,"$",107000000,37000000
"24","New Zealand",2020-03-22,50,"$",114000000,47000000
"25","New Zealand",2020-03-23,0,"$",196000000,210000000
"26","New Zealand",2020-03-24,53,"$",215000000,196000000
"27","New Zealand",2020-03-25,50,"$",344000000,197000000
"28","New Zealand",2020-03-26,78,"$",169000000,381000000
"29","New Zealand",2020-03-27,85,"$",255000000,221000000
"30","New Zealand",2020-03-28,83,"$",181000000,38000000
"31","New Zealand",2020-03-29,63,"$",116000000,37000000
"32","New Zealand",2020-03-30,75,"$",213000000,234000000
"33","New Zealand",2020-03-31,58,"$",198000000,143000000
"34","New Zealand",2020-04-01,61,"$",219000000,288000000
"35","New Zealand",2020-04-02,89,"$",133000000,159000000
"36","New Zealand",2020-04-03,71,"$",202000000,156000000
"37","New Zealand",2020-04-04,82,"$",102000000,32000000
"38","New Zealand",2020-04-05,89,"$",163000000,24000000
"39","New Zealand",2020-04-06,67,"$",248000000,187000000
"40","New Zealand",2020-04-07,54,"$",158000000,192000000
"41","New Zealand",2020-04-08,50,"$",302000000,198000000
"42","New Zealand",2020-04-09,29,"$",242000000,200000000
"43","New Zealand",2020-04-10,44,"$",216000000,29000000
"44","New Zealand",2020-04-11,29,"$",66000000,20000000
"45","New Zealand",2020-04-12,18,"$",146000000,27000000
"46","New Zealand",2020-04-13,19,"$",255000000,31000000
"47","New Zealand",2020-04-14,17,"$",192000000,226000000
"48","New Zealand",2020-04-15,20,"$",243000000,225000000
"49","New Zealand",2020-04-16,15,"$",119000000,178000000
"50","New Zealand",2020-04-17,8,"$",232000000,191000000
"51","New Zealand",2020-04-18,13,"$",60000000,16000000
"52","New Zealand",2020-04-19,9,"$",142000000,20000000
"53","New Zealand",2020-04-20,9,"$",216000000,171000000
"54","New Zealand",2020-04-21,5,"$",164000000,188000000
"55","New Zealand",2020-04-22,6,"$",118000000,177000000
"56","New Zealand",2020-04-23,5,"$",167000000,165000000
"57","New Zealand",2020-04-24,5,"$",195000000,123000000
"58","New Zealand",2020-04-25,9,"$",88000000,18000000
"59","New Zealand",2020-04-26,-1,"$",119000000,25000000
"60","New Zealand",2020-04-27,3,"$",247000000,36000000
"61","New Zealand",2020-04-28,2,"$",139000000,217000000
"62","New Zealand",2020-04-29,2,"$",246000000,199000000
"63","New Zealand",2020-04-30,3,"$",161000000,232000000
"64","New Zealand",2020-05-01,6,"$",190000000,324000000
"65","New Zealand",2020-05-02,2,"$",81000000,23000000
"66","New Zealand",2020-05-03,0,"$",117000000,20000000
"67","New Zealand",2020-05-04,-1,"$",218000000,194000000
"68","New Zealand",2020-05-05,2,"$",151000000,171000000
"69","New Zealand",2020-05-06,1,"$",265000000,150000000
"70","New Zealand",2020-05-07,1,"$",161000000,177000000
"71","New Zealand",2020-05-08,2,"$",162000000,145000000
"72","New Zealand",2020-05-09,2,"$",85000000,16000000
"73","New Zealand",2020-05-10,3,"$",134000000,26000000
"74","New Zealand",2020-05-11,0,"$",204000000,185000000
"75","New Zealand",2020-05-12,0,"$",217000000,178000000
"76","New Zealand",2020-05-13,0,"$",199000000,160000000
"77","New Zealand",2020-05-14,1,"$",151000000,172000000
"78","New Zealand",2020-05-15,0,"$",163000000,142000000
"79","New Zealand",2020-05-16,1,"$",125000000,15000000
"80","New Zealand",2020-05-17,0,"$",135000000,18000000
"81","New Zealand",2020-05-18,0,"$",252000000,212000000
"82","New Zealand",2020-05-19,4,"$",250000000,207000000
"83","New Zealand",2020-05-20,0,"$",291000000,152000000
"84","New Zealand",2020-05-21,1,"$",146000000,202000000
"85","New Zealand",2020-05-22,0,"$",209000000,146000000
"86","New Zealand",2020-05-23,0,"$",95000000,13000000
"87","New Zealand",2020-05-24,0,"$",128000000,43000000
"88","New Zealand",2020-05-25,0,"$",205000000,240000000
"89","New Zealand",2020-05-26,0,"$",175000000,179000000
"90","New Zealand",2020-05-27,0,"$",276000000,181000000
"91","New Zealand",2020-05-28,0,"$",164000000,224000000
"92","New Zealand",2020-05-29,0,"$",170000000,158000000
"93","New Zealand",2020-05-30,0,"$",128000000,13000000
"94","New Zealand",2020-05-31,0,"$",158000000,25000000
"95","New Zealand",2020-06-01,0,"$",225000000,109000000
"96","New Zealand",2020-06-02,0,"$",153000000,266000000
"97","New Zealand",2020-06-03,0,"$",215000000,185000000
"98","New Zealand",2020-06-04,0,"$",164000000,227000000
"99","New Zealand",2020-06-05,0,"$",149000000,151000000
"100","New Zealand",2020-06-06,0,"$",87000000,34000000
"101","New Zealand",2020-06-07,0,"$",204000000,29000000
"102","New Zealand",2020-06-08,0,"$",258000000,192000000
"103","New Zealand",2020-06-09,0,"$",173000000,216000000
"104","New Zealand",2020-06-10,0,"$",148000000,195000000
"105","New Zealand",2020-06-11,0,"$",95000000,200000000
"106","New Zealand",2020-06-12,0,"$",183000000,152000000
"107","New Zealand",2020-06-13,0,"$",86000000,16000000
"108","New Zealand",2020-06-14,0,"$",148000000,21000000
"109","New Zealand",2020-06-15,2,"$",275000000,191000000
"110","New Zealand",2020-06-16,0,"$",153000000,167000000
"111","New Zealand",2020-06-17,1,"$",226000000,147000000
"112","New Zealand",2020-06-18,0,"$",107000000,184000000
"113","New Zealand",2020-06-19,2,"$",129000000,146000000
"114","New Zealand",2020-06-20,2,"$",75000000,18000000
"115","New Zealand",2020-06-21,2,"$",189000000,21000000
"116","New Zealand",2020-06-22,2,"$",257000000,166000000
"117","New Zealand",2020-06-23,1,"$",167000000,222000000
"118","New Zealand",2020-06-24,3,"$",225000000,231000000
"119","New Zealand",2020-06-25,1,"$",170000000,146000000
"120","New Zealand",2020-06-26,2,"$",170000000,549000000
"121","New Zealand",2020-06-27,4,"$",82000000,18000000
"122","New Zealand",2020-06-28,2,"$",186000000,17000000
"123","New Zealand",2020-06-29,0,"$",253000000,223000000
"124","New Zealand",2020-06-30,0,"$",130000000,170000000
"125","New Zealand",2020-07-01,2,"$",200000000,311000000
"126","New Zealand",2020-07-02,0,"$",133000000,219000000
"127","New Zealand",2020-07-03,0,"$",152000000,177000000
"128","New Zealand",2020-07-04,3,"$",88000000,17000000
"129","New Zealand",2020-07-05,1,"$",121000000,25000000
"130","New Zealand",2020-07-06,2,"$",256000000,210000000
"131","New Zealand",2020-07-07,1,"$",138000000,214000000
"132","New Zealand",2020-07-08,3,"$",151000000,210000000
"133","New Zealand",2020-07-09,2,"$",156000000,153000000
"134","New Zealand",2020-07-10,1,"$",167000000,177000000
"135","New Zealand",2020-07-11,1,"$",131000000,18000000
"136","New Zealand",2020-07-12,0,"$",235000000,20000000
"137","New Zealand",2020-07-13,1,"$",171000000,178000000
"138","New Zealand",2020-07-14,2,"$",129000000,181000000
"139","New Zealand",2020-07-15,1,"$",234000000,170000000
"140","New Zealand",2020-07-16,1,"$",171000000,180000000
"141","New Zealand",2020-07-17,1,"$",119000000,130000000
"142","New Zealand",2020-07-18,3,"$",64000000,21000000
"143","New Zealand",2020-07-19,1,"$",94000000,24000000
"144","New Zealand",2020-07-20,1,"$",238000000,189000000
"145","New Zealand",2020-07-21,0,"$",149000000,253000000
"146","New Zealand",2020-07-22,0,"$",219000000,197000000
"147","New Zealand",2020-07-23,1,"$",136000000,181000000
"148","New Zealand",2020-07-24,0,"$",177000000,156000000
"149","New Zealand",2020-07-25,0,"$",92000000,19000000
"150","New Zealand",2020-07-26,0,"$",112000000,23000000
"151","New Zealand",2020-07-27,1,"$",242000000,187000000
"152","New Zealand",2020-07-28,2,"$",135000000,217000000
"153","New Zealand",2020-07-29,1,"$",239000000,155000000
"154","New Zealand",2020-07-30,0,"$",162000000,215000000
"155","New Zealand",2020-07-31,2,"$",183000000,144000000
"156","New Zealand",2020-08-01,3,"$",74000000,103000000
"157","New Zealand",2020-08-02,2,"$",167000000,25000000
"158","New Zealand",2020-08-03,0,"$",190000000,223000000
"159","New Zealand",2020-08-04,2,"$",130000000,224000000
"160","New Zealand",2020-08-05,0,"$",224000000,186000000
"161","New Zealand",2020-08-06,0,"$",121000000,179000000
"162","New Zealand",2020-08-07,0,"$",160000000,191000000
"163","New Zealand",2020-08-08,0,"$",111000000,22000000
"164","New Zealand",2020-08-09,0,"$",136000000,25000000
"165","New Zealand",2020-08-10,1,"$",158000000,212000000
"166","New Zealand",2020-08-11,0,"$",159000000,238000000
"167","New Zealand",2020-08-12,19,"$",204000000,164000000
"168","New Zealand",2020-08-13,13,"$",106000000,222000000
"169","New Zealand",2020-08-14,7,"$",156000000,206000000
"170","New Zealand",2020-08-15,13,"$",87000000,22000000
"171","New Zealand",2020-08-16,9,"$",134000000,34000000
"172","New Zealand",2020-08-17,12,"$",126000000,204000000
"173","New Zealand",2020-08-18,6,"$",113000000,234000000
"174","New Zealand",2020-08-19,5,"$",129000000,174000000
"175","New Zealand",2020-08-20,11,"$",148000000,150000000
"176","New Zealand",2020-08-21,6,"$",139000000,212000000
"177","New Zealand",2020-08-22,3,"$",134000000,22000000
"178","New Zealand",2020-08-23,9,"$",147000000,32000000
"179","New Zealand",2020-08-24,7,"$",163000000,180000000
"180","New Zealand",2020-08-25,5,"$",155000000,268000000
"181","New Zealand",2020-08-26,7,"$",169000000,254000000
"182","New Zealand",2020-08-27,12,"$",117000000,270000000
"183","New Zealand",2020-08-28,13,"$",164000000,197000000
"184","New Zealand",2020-08-29,2,"$",93000000,30000000
"185","New Zealand",2020-08-30,9,"$",111000000,33000000
"186","New Zealand",2020-08-31,14,"$",169000000,157000000
"187","New Zealand",2020-09-01,5,"$",167000000,307000000
"188","New Zealand",2020-09-02,2,"$",129000000,213000000
"189","New Zealand",2020-09-03,5,"$",120000000,172000000
"190","New Zealand",2020-09-04,3,"$",136000000,203000000
"191","New Zealand",2020-09-05,5,"$",152000000,27000000
"192","New Zealand",2020-09-06,4,"$",154000000,29000000
"193","New Zealand",2020-09-07,6,"$",126000000,209000000
"194","New Zealand",2020-09-08,6,"$",118000000,197000000
"195","New Zealand",2020-09-09,4,"$",87000000,191000000
"196","New Zealand",2020-09-10,1,"$",113000000,233000000
"197","New Zealand",2020-09-11,2,"$",126000000,193000000
"198","New Zealand",2020-09-12,2,"$",68000000,24000000
"199","New Zealand",2020-09-13,1,"$",143000000,35000000
"200","New Zealand",2020-09-14,3,"$",153000000,240000000
"201","New Zealand",2020-09-15,1,"$",126000000,241000000
"202","New Zealand",2020-09-16,7,"$",158000000,255000000
"203","New Zealand",2020-09-17,0,"$",146000000,245000000
"204","New Zealand",2020-09-18,2,"$",121000000,174000000
"205","New Zealand",2020-09-19,4,"$",111000000,35000000
"206","New Zealand",2020-09-20,0,"$",115000000,31000000
"207","New Zealand",2020-09-21,0,"$",219000000,182000000
"208","New Zealand",2020-09-22,9,"$",108000000,205000000
"209","New Zealand",2020-09-23,3,"$",146000000,214000000
"210","New Zealand",2020-09-24,2,"$",94000000,236000000
"211","New Zealand",2020-09-25,2,"$",150000000,169000000
"212","New Zealand",2020-09-26,2,"$",106000000,25000000
"213","New Zealand",2020-09-27,0,"$",91000000,87000000
"214","New Zealand",2020-09-28,2,"$",216000000,294000000
"215","New Zealand",2020-09-29,1,"$",115000000,197000000
"216","New Zealand",2020-09-30,12,"$",194000000,170000000
"217","New Zealand",2020-10-01,0,"$",143000000,269000000
"218","New Zealand",2020-10-02,1,"$",159000000,200000000
"219","New Zealand",2020-10-03,5,"$",151000000,31000000
"220","New Zealand",2020-10-04,1,"$",123000000,32000000
"221","New Zealand",2020-10-05,3,"$",232000000,164000000
"222","New Zealand",2020-10-06,3,"$",106000000,241000000
"223","New Zealand",2020-10-07,3,"$",147000000,215000000
"224","New Zealand",2020-10-08,2,"$",97000000,238000000
"225","New Zealand",2020-10-09,4,"$",175000000,202000000
"226","New Zealand",2020-10-10,1,"$",135000000,34000000
"227","New Zealand",2020-10-11,0,"$",163000000,35000000
"228","New Zealand",2020-10-12,1,"$",200000000,178000000
"229","New Zealand",2020-10-13,2,"$",128000000,267000000
"230","New Zealand",2020-10-14,2,"$",119000000,295000000
"231","New Zealand",2020-10-15,4,"$",146000000,277000000
"232","New Zealand",2020-10-16,3,"$",142000000,238000000
"233","New Zealand",2020-10-17,3,"$",144000000,25000000
"234","New Zealand",2020-10-18,0,"$",152000000,36000000
"235","New Zealand",2020-10-19,1,"$",225000000,203000000
"236","New Zealand",2020-10-20,25,"$",107000000,221000000
"237","New Zealand",2020-10-21,2,"$",199000000,230000000
"238","New Zealand",2020-10-22,9,"$",156000000,259000000
"239","New Zealand",2020-10-23,11,"$",149000000,231000000
"240","New Zealand",2020-10-24,1,"$",95000000,31000000
"241","New Zealand",2020-10-25,5,"$",140000000,39000000
"242","New Zealand",2020-10-26,1,"$",162000000,51000000
"243","New Zealand",2020-10-27,2,"$",178000000,262000000
"244","New Zealand",2020-10-28,6,"$",292000000,265000000
"245","New Zealand",2020-10-29,1,"$",132000000,249000000
"246","New Zealand",2020-10-30,7,"$",144000000,224000000
"247","New Zealand",2020-10-31,2,"$",157000000,30000000
"248","New Zealand",2020-11-01,4,"$",144000000,80000000
"249","New Zealand",2020-11-02,5,"$",268000000,255000000
"250","New Zealand",2020-11-03,3,"$",115000000,248000000
"251","New Zealand",2020-11-04,2,"$",165000000,200000000
"252","New Zealand",2020-11-05,1,"$",159000000,211000000
"253","New Zealand",2020-11-06,2,"$",162000000,208000000
"254","New Zealand",2020-11-07,6,"$",174000000,24000000
"255","New Zealand",2020-11-08,4,"$",99000000,33000000
"256","New Zealand",2020-11-09,1,"$",180000000,218000000
"257","New Zealand",2020-11-10,1,"$",161000000,260000000
"258","New Zealand",2020-11-11,3,"$",145000000,188000000
"259","New Zealand",2020-11-12,4,"$",140000000,251000000
"260","New Zealand",2020-11-13,3,"$",127000000,168000000
"261","New Zealand",2020-11-14,3,"$",220000000,24000000
"262","New Zealand",2020-11-15,0,"$",146000000,32000000
"263","New Zealand",2020-11-16,4,"$",213000000,262000000
"264","New Zealand",2020-11-17,3,"$",258000000,255000000
"265","New Zealand",2020-11-18,2,"$",248000000,183000000
"266","New Zealand",2020-11-19,3,"$",135000000,192000000
"267","New Zealand",2020-11-20,6,"$",152000000,179000000
"268","New Zealand",2020-11-21,9,"$",249000000,26000000
"269","New Zealand",2020-11-22,2,"$",107000000,32000000
"270","New Zealand",2020-11-23,1,"$",243000000,283000000
"271","New Zealand",2020-11-24,8,"$",137000000,174000000
"272","New Zealand",2020-11-25,1,"$",248000000,259000000
"273","New Zealand",2020-11-26,7,"$",169000000,251000000
"274","New Zealand",2020-11-27,3,"$",144000000,165000000
"275","New Zealand",2020-11-28,0,"$",127000000,27000000
"276","New Zealand",2020-11-29,6,"$",116000000,25000000
"277","New Zealand",2020-11-30,3,"$",247000000,207000000
"278","New Zealand",2020-12-01,1,"$",176000000,349000000
"279","New Zealand",2020-12-02,9,"$",107000000,228000000
"280","New Zealand",2020-12-03,0,"$",176000000,236000000
"281","New Zealand",2020-12-04,9,"$",175000000,199000000
"282","New Zealand",2020-12-05,0,"$",215000000,31000000
"283","New Zealand",2020-12-06,1,"$",142000000,31000000
"284","New Zealand",2020-12-07,6,"$",260000000,263000000
"285","New Zealand",2020-12-08,3,"$",137000000,233000000
"286","New Zealand",2020-12-09,0,"$",206000000,215000000
"287","New Zealand",2020-12-10,4,"$",186000000,226000000
"288","New Zealand",2020-12-11,0,"$",123000000,262000000
"289","New Zealand",2020-12-12,4,"$",160000000,33000000
"290","New Zealand",2020-12-13,0,"$",132000000,46000000
"291","New Zealand",2020-12-14,0,"$",215000000,210000000
"292","New Zealand",2020-12-15,4,"$",216000000,268000000
"293","New Zealand",2020-12-16,0,"$",256000000,241000000
